,country,iso_numeric,g_whoregion,year,lab_sm,lab_sm_eqa,lab_sm_eqa_pass,lab_sm_led,lab_cul,lab_dst,lab_dst_eqa,lab_dst_eqa_pass,lab_lpa,lab_lpa_eqa,lab_xpert,lab_xpert_eqa,sldst_avail_incntry,sldst_avail_outcntry,collab_private_lab,collab_public_lab,nrl,nrl_srl_link,nrl_qms,iso2,iso3
596,99,400,2,2013,13.0,13.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,95,97
597,99,400,2,2014,150.0,20.0,17.0,0.0,75.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,95,97
608,101,404,0,2013,1860.0,1704.0,1704.0,160.0,7.0,6.0,1.0,1.0,2.0,1.0,21.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,97,100
609,101,404,0,2014,1920.0,1574.0,1574.0,400.0,3.0,3.0,3.0,3.0,5.0,1.0,70.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,97,100
615,102,296,5,2014,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,100,103
632,105,418,5,2013,158.0,157.0,147.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,108,107
633,105,418,5,2014,156.0,156.0,148.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,108,107
639,106,428,3,2014,12.0,12.0,12.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,116,116
651,108,426,0,2014,18.0,18.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,113,113
656,109,430,0,2013,170.0,170.0,153.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,112,109
657,109,430,0,2014,171.0,171.0,171.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,112,109
668,111,440,3,2013,13.0,11.0,11.0,1.0,6.0,6.0,6.0,6.0,2.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,114,114
669,111,440,3,2014,13.0,11.0,11.0,2.0,6.0,6.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,114,114
674,112,442,3,2013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,115,115
675,112,442,3,2014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,115,115
680,113,450,0,2013,218.0,208.0,123.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,122,121
681,113,450,0,2014,217.0,140.0,101.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,122,121
686,114,454,0,2013,241.0,241.0,241.0,73.0,5.0,4.0,4.0,4.0,2.0,2.0,33.0,33.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,135,136
692,115,458,5,2013,758.0,758.0,735.0,36.0,35.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,137,137
693,115,458,5,2014,782.0,782.0,687.0,70.0,39.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,137,137
699,116,462,4,2014,70.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,134,122
704,117,466,0,2013,64.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,125,126
716,119,584,5,2013,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,123,124
723,120,478,0,2014,58.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,130,133
734,122,484,1,2013,1284.0,739.0,703.0,16.0,65.0,16.0,14.0,14.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,136,123
735,122,484,1,2014,1299.0,693.0,640.0,13.0,65.0,15.0,13.0,13.0,3.0,1.0,39.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,136,123
741,123,583,5,2014,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,65,68
753,125,496,5,2014,38.0,38.0,29.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,127,130
758,126,499,3,2013,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,121,129
759,126,499,3,2014,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,121,129
770,128,504,2,2013,149.0,107.0,88.0,40.0,18.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,118,118
776,129,508,0,2013,325.0,22.0,11.0,62.0,3.0,2.0,2.0,2.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,138,132
782,130,104,4,2013,486.0,472.0,458.0,65.0,3.0,2.0,2.0,2.0,2.0,2.0,24.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,126,128
788,131,516,0,2013,31.0,31.0,31.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,217,138
800,133,524,4,2013,553.0,461.0,384.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,145,146
801,133,524,4,2014,528.0,396.0,24.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,22.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,145,146
826,138,558,1,2014,221.0,206.0,198.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,142,142
837,140,566,0,2013,1515.0,1261.0,1257.0,207.0,5.0,3.0,3.0,3.0,4.0,4.0,49.0,22.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,141,141
855,143,578,3,2013,16.0,16.0,16.0,0.0,9.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,144,145
856,143,578,3,2014,16.0,16.0,16.0,0.0,9.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,144,145
873,146,585,5,2013,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,160,154
879,147,591,1,2013,58.0,49.0,49.0,0.0,12.0,1.0,1.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,150,151
880,147,591,1,2014,64.0,64.0,60.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,150,151
891,149,600,1,2013,133.0,101.0,93.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,161,160
892,149,600,1,2014,133.0,114.0,109.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,161,160
898,150,604,1,2014,1476.0,1239.0,1239.0,0.0,50.0,7.0,7.0,7.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,151,152
933,156,410,5,2013,600.0,580.0,577.0,8.0,100.0,12.0,10.0,10.0,21.0,21.0,45.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,104,105
939,157,498,3,2013,57.0,30.0,30.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,28.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,120,120
945,158,642,3,2013,103.0,82.0,82.0,1.0,89.0,43.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,163,164
946,158,642,3,2014,105.0,90.0,90.0,1.0,91.0,44.0,3.0,3.0,6.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,163,164
952,159,643,3,2014,5347.0,1171.0,858.0,341.0,405.0,299.0,99.0,78.0,6.0,0.0,96.0,13.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,165,165
957,160,646,0,2013,199.0,199.0,195.0,25.0,3.0,3.0,1.0,1.0,3.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,166,166
958,160,646,0,2014,200.0,200.0,194.0,50.0,3.0,1.0,1.0,1.0,3.0,0.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,166,166
993,166,678,0,2013,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,181,178
994,166,678,0,2014,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,181,178
1005,168,686,0,2013,115.0,114.0,82.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,177,169
1006,168,686,0,2014,119.0,112.0,107.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,177,169
1011,169,688,3,2013,31.0,30.0,30.0,0.0,29.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,164,176
1012,169,688,3,2014,31.0,29.0,29.0,0.0,29.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,164,176
1041,174,703,3,2014,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,174,180
1046,175,705,3,2013,3.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,173,181
1047,175,705,3,2014,3.0,3.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,173,181
1052,176,90,5,2013,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,168,171
1053,176,90,5,2014,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,168,171
1064,178,710,0,2013,207.0,160.0,149.0,207.0,15.0,15.0,15.0,15.0,15.0,15.0,207.0,173.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,214,215
1065,178,710,0,2014,207.0,187.0,185.0,207.0,12.0,12.0,12.0,12.0,12.0,12.0,207.0,207.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,214,215
1080,181,144,4,2013,214.0,190.0,180.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,111,112
1081,181,144,4,2014,206.0,197.0,173.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,111,112
1086,182,729,2,2013,331.0,202.0,115.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,170,168
1098,184,748,0,2013,18.0,18.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,185,183
1105,185,752,3,2014,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,171,182
1116,187,760,2,2013,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,184,186
1117,187,760,2,2014,37.0,12.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,184,186
1122,188,762,3,2013,87.0,87.0,69.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,11.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,190,191
1123,188,762,3,2014,84.0,83.0,83.0,5.0,5.0,1.0,1.0,1.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,190,191
1128,189,764,4,2013,1081.0,970.0,875.0,65.0,65.0,18.0,18.0,18.0,12.0,0.0,14.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,189,190
1129,189,764,4,2014,908.0,738.0,606.0,24.0,53.0,20.0,12.0,7.0,12.0,6.0,14.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,189,190
1134,190,807,3,2013,7.0,7.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,124,125
1135,190,807,3,2014,7.0,7.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,124,125
1147,192,768,0,2014,59.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,188,189
